/M0/D (vgs=0.3) X,/M0/D (vgs=0.3) Y,/M0/D (vgs=0.6) X,/M0/D (vgs=0.6) Y,/M0/D (vgs=0.9) X,/M0/D (vgs=0.9) Y,/M0/D (vgs=1.2) X,/M0/D (vgs=1.2) Y
0,-3.722900097361426e-14,0,-3.613177517423116e-12,0,-3.433474227466189e-11,0,-1.749671296017369e-10
0.012,6.174154683894052e-09,0.012,5.611042184413991e-07,0.012,1.659476071174995e-06,0.012,2.501100835513304e-06
0.024,1.017794432959258e-08,0.024,1.0723078140213e-06,0.024,3.264868587173468e-06,0.024,4.955656438715806e-06
0.036,1.245685769794386e-08,0.036,1.533938370257648e-06,0.036,4.816293129569558e-06,0.036,7.363579458269189e-06
0.048,1.363047858074837e-08,0.048,1.94641393894587e-06,0.048,6.313901404757002e-06,0.048,9.724959315391641e-06
0.06,1.423706128364265e-08,0.06,2.31028919663885e-06,0.06,7.757846956586447e-06,0.06,1.20398860240854e-05
0.07199999999999999,1.458605997395257e-08,0.07199999999999999,2.626336737756819e-06,0.07199999999999999,9.148285531946521e-06,0.07199999999999999,1.430845024862738e-05
0.08399999999999999,1.48183169357956e-08,0.08399999999999999,2.895676373576058e-06,0.08399999999999999,1.048537552911196e-05,0.08399999999999999,1.653074332794126e-05
0.09599999999999999,1.49943039162735e-08,0.09599999999999999,3.119972581053221e-06,0.09599999999999999,1.176927855950556e-05,0.09599999999999999,1.870685729317567e-05
0.108,1.514097214204677e-08,0.108,3.301707680318734e-06,0.108,1.300016015796379e-05,0.108,2.083688488555573e-05
0.12,1.527119253740081e-08,0.12,3.444486688586324e-06,0.12,1.417819068676868e-05,0.12,2.292091957659749e-05
0.132,1.539157019523991e-08,0.132,3.553222469317074e-06,0.132,1.530354649369839e-05,0.132,2.495905559169997e-05
0.144,1.550572312805872e-08,0.144,3.633956158974896e-06,0.144,1.637641140513172e-05,0.144,2.695138793790776e-05
0.156,1.561574835248648e-08,0.156,3.693182892946752e-06,0.156,1.73969786639045e-05,0.156,2.889801243664869e-05
0.168,1.572292144263017e-08,0.168,3.736929354108295e-06,0.168,1.836545346119427e-05,0.168,3.079902576235793e-05
0.18,1.58280509412015e-08,0.18,3.770070892146698e-06,0.18,1.928205626642595e-05,0.18,3.2654525488055e-05
0.192,1.593166775283742e-08,0.192,3.796145996673324e-06,0.192,2.014702723475906e-05,0.192,3.446461013914786e-05
0.204,1.603413121696122e-08,0.204,3.817543796096036e-06,0.204,2.096063207563121e-05,0.204,3.622937925699267e-05
0.2160000000000001,1.613569101366435e-08,0.2160000000000001,3.835815983873652e-06,0.2160000000000001,2.17231699073583e-05,0.2160000000000001,3.79489334740575e-05
0.2280000000000001,1.623652462565133e-08,0.2280000000000001,3.85195698224136e-06,0.2280000000000001,2.243498381214009e-05,0.2280000000000001,3.962337460293097e-05
0.2400000000000001,1.633676074471142e-08,0.2400000000000001,3.866606323223896e-06,0.2400000000000001,2.309647505135317e-05,0.2400000000000001,4.125280574190242e-05
0.2520000000000001,1.643649431642848e-08,0.2520000000000001,3.880180920998621e-06,0.2520000000000001,2.37081222021662e-05,0.2520000000000001,4.283733140044854e-05
0.2640000000000001,1.653579645364014e-08,0.2640000000000001,3.8929577683357e-06,0.2640000000000001,2.427050680844065e-05,0.2640000000000001,4.437705764871382e-05
0.2760000000000001,1.663472113205499e-08,0.2760000000000001,3.905124888175758e-06,0.2760000000000001,2.478434742248388e-05,0.2760000000000001,4.587209229601696e-05
0.2880000000000001,1.673330986703893e-08,0.2880000000000001,3.916812782233014e-06,0.2880000000000001,2.525054396466534e-05,0.2880000000000001,4.73225451046002e-05
0.3000000000000001,1.683159484535547e-08,0.3000000000000001,3.928114050840158e-06,0.3000000000000001,2.567023378221425e-05,0.3000000000000001,4.872852804633046e-05
0.3120000000000001,1.692960122128257e-08,0.3120000000000001,3.939095822678392e-06,0.3120000000000001,2.604485904338123e-05,0.3120000000000001,5.009015561194643e-05
0.3240000000000001,1.70273488095507e-08,0.3240000000000001,3.949807768786443e-06,0.3240000000000001,2.637624137076191e-05,0.3240000000000001,5.140754518483407e-05
0.3360000000000001,1.712485331284894e-08,0.3360000000000001,3.960287365070357e-06,0.3360000000000001,2.666665332703468e-05,0.3360000000000001,5.26808174943521e-05
0.3480000000000001,1.722212723272495e-08,0.3480000000000001,3.970563411740358e-06,0.3480000000000001,2.691886817054402e-05,0.3480000000000001,5.391009716759643e-05
0.3600000000000002,1.731918055494995e-08,0.3600000000000002,3.980658429268206e-06,0.3600000000000002,2.713616250623172e-05,0.3600000000000002,5.509551340343965e-05
0.3720000000000002,1.741602127107584e-08,0.3720000000000002,3.990590317586499e-06,0.3720000000000002,2.732224743045699e-05,0.3720000000000002,5.623720079900649e-05
0.3840000000000002,1.751265577945428e-08,0.3840000000000002,4.000373523904479e-06,0.3840000000000002,2.748111865989004e-05,0.3840000000000002,5.733530036684771e-05
0.3960000000000002,1.760908919653627e-08,0.3960000000000002,4.010019877418579e-06,0.3960000000000002,2.761684365512907e-05,0.3960000000000002,5.838996079144931e-05
0.4080000000000002,1.77053256006884e-08,0.4080000000000002,4.019539194677551e-06,0.4080000000000002,2.773333064835574e-05,0.4080000000000002,5.940133998698394e-05
0.4200000000000002,1.780136822475221e-08,0.4200000000000002,4.028939724695285e-06,0.4200000000000002,2.783413302375651e-05,0.4200000000000002,6.036960703512469e-05
0.4320000000000002,1.78972196093148e-08,0.4320000000000002,4.03822848051144e-06,0.4320000000000002,2.792232639034484e-05,0.4320000000000002,6.129494460318595e-05
0.4440000000000002,1.799288172560575e-08,0.4440000000000002,4.047411489220004e-06,0.4440000000000002,2.800046646271755e-05,0.4440000000000002,6.217755196979513e-05
0.4560000000000002,1.808835607472262e-08,0.4560000000000002,4.056493982719098e-06,0.4560000000000002,2.807061149452964e-05,0.4560000000000002,6.301764881866504e-05
0.4680000000000002,1.818364376826828e-08,0.4680000000000002,4.065480544848686e-06,0.4680000000000002,2.81343830386024e-05,0.4680000000000002,6.381548000149021e-05
0.4800000000000003,1.827874559428586e-08,0.4800000000000003,4.074375226079791e-06,0.4800000000000003,2.819304124853778e-05,0.4800000000000003,6.457132151840768e-05
0.4920000000000003,1.83736620714876e-08,0.4920000000000003,4.083181633803863e-06,0.4920000000000003,2.824755885025507e-05,0.4920000000000003,6.528548801706793e-05
0.5040000000000002,1.846839349410026e-08,0.5040000000000002,4.091903004088078e-06,0.5040000000000002,2.829868575733181e-05,0.5040000000000002,6.595834216426684e-05
0.5160000000000002,1.856293996914577e-08,0.5160000000000002,4.100542259216452e-06,0.5160000000000002,2.834700177046405e-05,0.5160000000000002,6.659030628688501e-05
0.5280000000000002,1.865730144758553e-08,0.5280000000000002,4.109102054230037e-06,0.5280000000000002,2.839295779761237e-05,0.5280000000000002,6.718187669229366e-05
0.5400000000000003,1.875147775046058e-08,0.5400000000000003,4.11758481487806e-06,0.5400000000000003,2.843690729180482e-05,0.5400000000000003,6.773364102989684e-05
0.5520000000000003,1.884546859092853e-08,0.5520000000000003,4.125992768807358e-06,0.5520000000000003,2.847912988714672e-05,0.5520000000000003,6.824629889514768e-05
0.5640000000000003,1.893927359291928e-08,0.5640000000000003,4.134327971381468e-06,0.5640000000000003,2.851984904650751e-05,0.5640000000000003,6.872068553673798e-05
0.5760000000000003,1.903289230699036e-08,0.5760000000000003,4.142592327222131e-06,0.5760000000000003,2.85592452138113e-05,0.5760000000000003,6.915779792797563e-05
0.5880000000000003,1.912632422385349e-08,0.5880000000000003,4.150787608362066e-06,0.5880000000000003,2.859746563240078e-05,0.5880000000000003,6.95588215429673e-05
0.6000000000000003,1.921956878595331e-08,0.6000000000000003,4.158915469426026e-06,0.6000000000000003,2.863463170456069e-05,0.6000000000000003,6.992515494938816e-05
0.6120000000000003,1.931262539741274e-08,0.6120000000000003,4.166977460615026e-06,0.6120000000000003,2.867084453964363e-05,0.6120000000000003,7.025842796444538e-05
0.6240000000000003,1.940549343260095e-08,0.6240000000000003,4.174975038842314e-06,0.6240000000000003,2.870618916524651e-05,0.6240000000000003,7.05605080336649e-05
0.6360000000000003,1.949817224353609e-08,0.6360000000000003,4.182909577292095e-06,0.6360000000000003,2.874073774772185e-05,0.6360000000000003,7.083348933700527e-05
0.6480000000000004,1.959066116629814e-08,0.6480000000000004,4.190782373681641e-06,0.6480000000000004,2.877455207468711e-05,0.6480000000000004,7.10796605958011e-05
0.6600000000000004,1.96829595265981e-08,0.6600000000000004,4.198594657441522e-06,0.6600000000000004,2.880768548429705e-05,0.6600000000000004,7.130145094529781e-05
0.6720000000000004,1.977506664462561e-08,0.6720000000000004,4.206347595985515e-06,0.6720000000000004,2.884018437692348e-05,0.6720000000000004,7.150135798185636e-05
0.6840000000000004,1.986698183927718e-08,0.6840000000000004,4.21404230021096e-06,0.6840000000000004,2.887208940934029e-05,0.6840000000000004,7.168186666344273e-05
0.6960000000000004,1.995870443185119e-08,0.6960000000000004,4.221679829345328e-06,0.6960000000000004,2.890343644571388e-05,0.6960000000000004,7.184537026461428e-05
0.7080000000000004,2.00502337492834e-08,0.7080000000000004,4.229261195233919e-06,0.7080000000000004,2.893425732090792e-05,0.7080000000000004,7.199410392214764e-05
0.7200000000000004,2.01415691269839e-08,0.7200000000000004,4.236787366148505e-06,0.7200000000000004,2.896458045784935e-05,0.7200000000000004,7.213009778510342e-05
0.7320000000000004,2.023270991132963e-08,0.7320000000000004,4.244259270183079e-06,0.7320000000000004,2.899443137057699e-05,0.7320000000000004,7.225515197638415e-05
0.7440000000000004,2.032365546185707e-08,0.7440000000000004,4.251677798291582e-06,0.7440000000000004,2.902383307708182e-05,0.7440000000000004,7.237083130570375e-05
0.7560000000000004,2.041440515319464e-08,0.7560000000000004,4.259043807015396e-06,0.7560000000000004,2.905280644045937e-05,0.7560000000000004,7.247847508264021e-05
0.7680000000000005,2.050495837676894e-08,0.7680000000000005,4.266358120939521e-06,0.7680000000000005,2.908137045269273e-05,0.7680000000000005,7.257921662211666e-05
0.7800000000000005,2.059531454231359e-08,0.7800000000000005,4.273621534911121e-06,0.7800000000000005,2.910954247221484e-05,0.7800000000000005,7.26740076034189e-05
0.7920000000000005,2.068547307920804e-08,0.7920000000000005,4.280834816049846e-06,0.7920000000000005,2.913733842398798e-05,0.7920000000000005,7.276364364433556e-05
0.8040000000000005,2.07754334376669e-08,0.8040000000000005,4.287998705574004e-06,0.8040000000000005,2.916477296899564e-05,0.8040000000000005,7.284878873764097e-05
0.8160000000000005,2.086519508980229e-08,0.8160000000000005,4.295113920463795e-06,0.8160000000000005,2.919185964861674e-05,0.8160000000000005,7.292999726937517e-05
0.8280000000000005,2.095475753057524e-08,0.8280000000000005,4.302181154980908e-06,0.8280000000000005,2.921861100825725e-05,0.8280000000000005,7.300773310266148e-05
0.8400000000000005,2.104412027865356e-08,0.8400000000000005,4.309201082059306e-06,0.8400000000000005,2.924503870375169e-05,0.8400000000000005,7.308238568979766e-05
0.8520000000000005,2.11332828771894e-08,0.8520000000000005,4.316174354581952e-06,0.8520000000000005,2.927115359337382e-05,0.8520000000000005,7.315428343710441e-05
0.8640000000000005,2.122224489453041e-08,0.8640000000000005,4.323101606555462e-06,0.8640000000000005,2.929696581776256e-05,0.8640000000000005,7.322370466324708e-05
0.8760000000000006,2.131100592487596e-08,0.8760000000000006,4.329983454193357e-06,0.8760000000000006,2.932248486966754e-05,0.8760000000000006,7.329088652028693e-05
0.8880000000000006,2.13995655888892e-08,0.8880000000000006,4.336820496917759e-06,0.8880000000000006,2.934771965511791e-05,0.8880000000000006,7.335603222806686e-05
0.9000000000000006,2.148792353427465e-08,0.9000000000000006,4.343613318287238e-06,0.9000000000000006,2.937267854706189e-05,0.9000000000000006,7.341931693235556e-05
0.9120000000000006,2.157607943633048e-08,0.9120000000000006,4.35036248685941e-06,0.9120000000000006,2.939736943279909e-05,0.9120000000000006,7.348089245033275e-05
0.9240000000000006,2.166403299848395e-08,0.9240000000000006,4.357068556993931e-06,0.9240000000000006,2.942179975603366e-05,0.9240000000000006,7.354089112139414e-05
0.9360000000000006,2.175178395281719e-08,0.9360000000000006,4.363732069602464e-06,0.9360000000000006,2.944597655423759e-05,0.9360000000000006,7.359942894049114e-05
0.9480000000000006,2.18393320605903e-08,0.9480000000000006,4.370353552851057e-06,0.9480000000000006,2.946990649196608e-05,0.9480000000000006,7.365660811650908e-05
0.9600000000000006,2.192667711276852e-08,0.9600000000000006,4.376933522819572e-06,0.9600000000000006,2.94935958906595e-05,0.9600000000000006,7.371251916952099e-05
0.9720000000000006,2.201381893055914e-08,0.9720000000000006,4.383472484122718e-06,0.9720000000000006,2.951705075537803e-05,0.9720000000000006,7.376724265750584e-05
0.9840000000000007,2.210075736596341e-08,0.9840000000000007,4.389970930496923e-06,0.9840000000000007,2.954027679885279e-05,0.9840000000000007,7.382085060452019e-05
0.9960000000000007,2.218749230234804e-08,0.9960000000000007,4.396429345356197e-06,0.9960000000000007,2.956327946317924e-05,0.9960000000000007,7.387340768752029e-05
1.008000000000001,2.227402365504181e-08,1.008000000000001,4.402848202320818e-06,1.008000000000001,2.958606393943475e-05,1.008000000000001,7.392497222735448e-05
1.020000000000001,2.236035137195924e-08,1.020000000000001,4.40922796572174e-06,1.020000000000001,2.960863518546109e-05,1.020000000000001,7.397559702020231e-05
1.032000000000001,2.244647543425714e-08,1.032000000000001,4.415569091083132e-06,1.032000000000001,2.963099794202314e-05,1.032000000000001,7.402533003847593e-05
1.044000000000001,2.253239585702518e-08,1.044000000000001,4.421872025586694e-06,1.044000000000001,2.965315674752284e-05,1.044000000000001,7.407421502445188e-05
1.056000000000001,2.261811269001425e-08,1.056000000000001,4.428137208518323e-06,1.056000000000001,2.967511595142964e-05,1.056000000000001,7.412229199535881e-05
1.068000000000001,2.270362601840461e-08,1.068000000000001,4.434365071700895e-06,1.068000000000001,2.969687972656378e-05,1.068000000000001,7.416959767505527e-05
1.080000000000001,2.278893596361579e-08,1.080000000000001,4.440556039914562e-06,1.080000000000001,2.97184520803553e-05,1.080000000000001,7.421616586457721e-05
1.092000000000001,2.287404268415989e-08,1.092000000000001,4.446710531305639e-06,1.092000000000001,2.973983686518468e-05,1.092000000000001,7.426202776155057e-05
1.104000000000001,2.295894637653952e-08,1.104000000000001,4.452828957786688e-06,1.104000000000001,2.976103778790066e-05,1.104000000000001,7.43072122366498e-05
1.116000000000001,2.304364727619184e-08,1.116000000000001,4.458911725428919e-06,1.116000000000001,2.978205841859733e-05,1.116000000000001,7.435174607382263e-05
1.128000000000001,2.312814565848015e-08,1.128000000000001,4.464959234847829e-06,1.128000000000001,2.980290219872744e-05,1.128000000000001,7.439565417981586e-05
1.140000000000001,2.321244183973276e-08,1.140000000000001,4.470971881583694e-06,1.140000000000001,2.9823572448615e-05,1.140000000000001,7.443895976759557e-05
1.152000000000001,2.329653617833186e-08,1.152000000000001,4.476950056477849e-06,1.152000000000001,2.984407237442972e-05,1.152000000000001,7.448168451747571e-05
1.164000000000001,2.33804290758537e-08,1.164000000000001,4.482894146045693e-06,1.164000000000001,2.986440507467421e-05,1.164000000000001,7.452384871913251e-05
1.176000000000001,2.346412097826113e-08,1.176000000000001,4.488804532846941e-06,1.176000000000001,2.988457354623321e-05,1.176000000000001,7.456547139719695e-05
1.188000000000001,2.35476123771527e-08,1.188000000000001,4.494681595854418e-06,1.188000000000001,2.990458069002761e-05,1.188000000000001,7.460657042271991e-05
1.2,2.363090381107075e-08,1.2,4.500525710821446e-06,1.2,2.992442931631159e-05,1.2,7.464716261217617e-05
