v /VOUT; pac dB20(V) (harmonic=-7) X,v /VOUT; pac dB20(V) (harmonic=-7) Y,v /VOUT; pac dB20(V) (harmonic=-6) X,v /VOUT; pac dB20(V) (harmonic=-6) Y,v /VOUT; pac dB20(V) (harmonic=-5) X,v /VOUT; pac dB20(V) (harmonic=-5) Y,v /VOUT; pac dB20(V) (harmonic=-4) X,v /VOUT; pac dB20(V) (harmonic=-4) Y,v /VOUT; pac dB20(V) (harmonic=-3) X,v /VOUT; pac dB20(V) (harmonic=-3) Y,v /VOUT; pac dB20(V) (harmonic=-2) X,v /VOUT; pac dB20(V) (harmonic=-2) Y,v /VOUT; pac dB20(V) (harmonic=-1) X,v /VOUT; pac dB20(V) (harmonic=-1) Y,v /VOUT; pac dB20(V) (harmonic=0) X,v /VOUT; pac dB20(V) (harmonic=0) Y,v /VOUT; pac dB20(V) (harmonic=1) X,v /VOUT; pac dB20(V) (harmonic=1) Y,v /VOUT; pac dB20(V) (harmonic=2) X,v /VOUT; pac dB20(V) (harmonic=2) Y,v /VOUT; pac dB20(V) (harmonic=3) X,v /VOUT; pac dB20(V) (harmonic=3) Y,v /VOUT; pac dB20(V) (harmonic=4) X,v /VOUT; pac dB20(V) (harmonic=4) Y,v /VOUT; pac dB20(V) (harmonic=5) X,v /VOUT; pac dB20(V) (harmonic=5) Y,v /VOUT; pac dB20(V) (harmonic=6) X,v /VOUT; pac dB20(V) (harmonic=6) Y,v /VOUT; pac dB20(V) (harmonic=7) X,v /VOUT; pac dB20(V) (harmonic=7) Y,OUT (harmonic=-7) X,OUT (harmonic=-7) Y,OUT (harmonic=-6) X,OUT (harmonic=-6) Y,OUT (harmonic=-5) X,OUT (harmonic=-5) Y,OUT (harmonic=-4) X,OUT (harmonic=-4) Y,OUT (harmonic=-3) X,OUT (harmonic=-3) Y,OUT (harmonic=-2) X,OUT (harmonic=-2) Y,OUT (harmonic=-1) X,OUT (harmonic=-1) Y,OUT (harmonic=0) X,OUT (harmonic=0) Y,OUT (harmonic=1) X,OUT (harmonic=1) Y,OUT (harmonic=2) X,OUT (harmonic=2) Y,OUT (harmonic=3) X,OUT (harmonic=3) Y,OUT (harmonic=4) X,OUT (harmonic=4) Y,OUT (harmonic=5) X,OUT (harmonic=5) Y,OUT (harmonic=6) X,OUT (harmonic=6) Y,OUT (harmonic=7) X,OUT (harmonic=7) Y
699998.9999999999,-73.91308049856592,599998.9999999999,-75.52426705702899,499998.9999999999,-66.61701723219286,399998.9999999999,-65.9798929169464,299998.9999999999,-54.60913411794984,199999,-50.93992186689636,99998.99999999999,-37.18206160209473,1,5.519892875335049,100001,-37.17403337050499,200001,-50.93820825159445,300000.9999999999,-54.60570767718762,400000.9999999999,-65.9754738015754,500000.9999999999,-66.619421874624,600000.9999999999,-75.45921158026775,700000.9999999999,-73.90890936595882,699998.9999999999,-53.23367488502197,599998.9999999999,-54.261943244524,499998.9999999999,-46.37271828431655,399998.9999999999,-45.79479194129425,299998.9999999999,-33.86450873663426,199999,-30.15350038005103,99998.99999999999,-16.29664749040575,1,20.27833574161553,100001,-16.24648975484025,200001,-30.02912592811476,300000.9999999999,-33.6867545537227,400000.9999999999,-45.33920979354343,500000.9999999999,-45.89106189405608,600000.9999999999,-53.73457111998923,700000.9999999999,-52.60218407445298
699998.741074588,-73.92156687540974,599998.741074588,-75.54029475317736,499998.7410745881,-66.61987822275849,399998.7410745881,-65.98291622766592,299998.7410745881,-54.61027005693067,199998.7410745882,-50.94037738510082,99998.74107458819,-37.18309697061847,1.258925411794167,5.519895887906507,100001.2589254118,-37.17300849968558,200001.2589254118,-50.93822559653795,300001.2589254117,-54.60558832499059,400001.2589254117,-65.97553588801345,500001.2589254117,-66.61961089796388,600001.2589254117,-75.45591474800486,700001.2589254117,-73.90911269308714,699998.741074588,-53.22523427173364,599998.741074588,-54.22044266939744,499998.7410745881,-46.40859435963733,399998.7410745881,-45.82993069266087,299998.7410745881,-33.87875847731567,199998.7410745882,-30.16343000765183,99998.74107458819,-16.30051378948697,1.258925411794167,21.70274619076726,100001.2589254118,-16.2439485578454,200001.2589254118,-30.02585676623553,300001.2589254117,-33.68154920856561,400001.2589254117,-45.32316606247582,500001.2589254117,-45.87282247383177,600001.2589254117,-53.63617913733965,700001.2589254117,-52.52759811123546
699998.4151068074,-73.93349569857931,599998.4151068074,-75.56045193568053,499998.4151068075,-66.62408506599378,399998.4151068075,-65.98697984131253,299998.4151068075,-54.61173226032947,199998.4151068075,-50.94092186729773,99998.41510680753,-37.18439432444315,1.584893192461114,5.519899904102981,100001.5848931924,-37.17172067247711,200001.5848931924,-50.93822099803599,300001.5848931924,-54.60530063735204,400001.5848931924,-65.97503314215955,500001.5848931924,-66.61893374873092,600001.5848931924,-75.45059059622717,700001.5848931924,-73.90727538310945,699998.4151068074,-53.1970302691196,599998.4151068074,-54.15941402524293,499998.4151068075,-46.43568350837398,399998.4151068075,-45.85696724690813,299998.4151068075,-33.88999194390879,199998.4151068075,-30.17115043899405,99998.41510680753,-16.30379230180178,1.584893192461114,22.92279096910299,100001.5848931924,-16.24219239024527,200001.5848931924,-30.02575594227838,300001.5848931924,-33.68061007586813,400001.5848931924,-45.31700410558699,500001.5848931924,-45.86477188620863,600001.5848931924,-53.53629048206785,700001.5848931924,-52.45812594058428
699998.004737685,-73.94919285248464,599998.004737685,-75.58493481305119,499998.004737685,-66.62978550484488,399998.004737685,-65.99213638234173,299998.004737685,-54.61353285693016,199998.004737685,-50.94154119049946,99998.00473768501,-37.18601960696049,1.99526231496888,5.519905163252084,100001.995262315,-37.17010011767339,200001.9952623149,-50.93815168157681,300001.9952623149,-54.60472457648443,400001.9952623149,-65.97358130602265,500001.9952623149,-66.61692677610118,600001.9952623148,-75.44180484977215,700001.9952623148,-73.90220744612529,699998.004737685,-53.15054017032602,599998.004737685,-54.08475484580531,499998.004737685,-46.4499232984421,399998.004737685,-45.8719173391722,299998.004737685,-33.89660698832187,199998.004737685,-30.17549208645227,99998.00473768501,-16.30619857745893,1.99526231496888,23.91723257922999,100001.995262315,-16.24136626951758,200001.9952623149,-30.02928865313412,300001.9952623149,-33.68457711093733,400001.9952623149,-45.32247329743123,500001.9952623149,-45.86886668388231,600001.9952623148,-53.4435379321135,700001.9952623148,-52.40057495161253
699997.4881135684,-73.96868831466608,599997.4881135684,-75.61387907765864,499997.4881135685,-66.63698878604794,399997.4881135685,-65.9983552962299,299997.4881135685,-54.61566824386448,199997.4881135685,-50.94221777699816,99997.48811356847,-37.18805654271805,2.511886431509581,5.519912111096192,100002.5118864315,-37.16805766706521,200002.5118864315,-50.93796339264447,300002.5118864314,-54.60373092665989,400002.5118864314,-65.97080156707533,500002.5118864314,-66.61319516015942,600002.5118864314,-75.42791775609035,700002.5118864314,-73.89283391799337,699997.4881135684,-53.09272257915353,599997.4881135684,-54.00702141282109,499997.4881135685,-46.45058100646514,399997.4881135685,-45.87389579533532,299997.4881135685,-33.89813634680824,199997.4881135685,-30.17607805604793,99997.48811356847,-16.30774442969557,2.511886431509581,24.68663405743052,100002.5118864315,-16.24129374906687,200002.5118864315,-30.03601920725976,300002.5118864314,-33.69283852003617,400002.5118864314,-45.33834910900123,500002.5118864314,-45.88396819700485,600002.5118864314,-53.36438657218467,700002.5118864314,-52.35868576722757
699996.8377223397,-73.99194717339662,599996.8377223397,-75.64770452277388,499996.8377223398,-66.64564757191766,399996.8377223398,-66.00560243462228,299996.8377223398,-54.61814567158278,199996.8377223398,-50.94294173136838,99996.83772233981,-37.1906112450523,3.16227766016838,5.519921625646668,100003.1622776602,-37.16548018846139,200003.1622776601,-50.93759959326935,300003.1622776601,-54.60220073286611,400003.1622776601,-65.96638000769181,500003.1622776601,-66.6074702255648,600003.1622776601,-75.40733505487407,700003.1622776601,-73.87836637680108,699996.8377223397,-53.03341333927162,599996.8377223397,-53.93758465200847,499996.8377223398,-46.44064777895566,399996.8377223398,-45.86555620516592,299996.8377223398,-33.89545040718603,199996.8377223398,-30.17347024607379,99996.83772233981,-16.30876867370541,3.16227766016838,25.25314893126286,100003.1622776602,-16.24150567950299,200003.1622776601,-30.04476184261224,300003.1622776601,-33.70372760386965,400003.1622776601,-45.36077214857352,500003.1622776601,-45.90614788795928,600003.1622776601,-53.30061960874318,700003.1622776601,-52.3316715068278
699996.0189282943,-74.01919832207187,599996.0189282943,-75.68742689657681,499996.0189282944,-66.65578929057672,399996.0189282944,-66.01393436774467,299996.0189282944,-54.62100969860506,199996.0189282944,-50.94371718673641,99996.01892829445,-37.19381724602432,3.981071705534974,5.519935296450535,100003.9810717055,-37.16222488327767,200003.9810717055,-50.93700561319938,300003.9810717055,-54.60002651056891,400003.9810717055,-65.9600558316416,500003.9810717055,-66.59956333626684,600003.9810717055,-75.37858757667692,700003.9810717055,-73.85823004225034,699996.0189282943,-52.98165173592864,599996.0189282943,-53.88505316442541,499996.0189282944,-46.42526112332615,399996.0189282944,-45.85164759501103,299996.0189282944,-33.89025605942532,199996.0189282944,-30.16881713346317,99996.01892829445,-16.3098096391349,3.981071705534974,25.65279969112765,100003.9810717055,-16.24140110896942,200003.9810717055,-30.05409054539647,300003.9810717055,-33.7152210967932,400003.9810717055,-45.38482563156158,500003.9810717055,-45.93030997405997,600003.9810717055,-53.24932741729903,700003.9810717055,-52.31506167035086
699994.9881276636,-74.05116464291415,599994.9881276636,-75.73480105239854,499994.9881276637,-66.66761270362468,399994.9881276637,-66.02354985581621,299994.9881276637,-54.6243540665461,199994.9881276637,-50.94456005842179,99994.98812766372,-37.19784135969709,5.011872336272725,5.519955780622475,100005.0118723363,-37.15811154567159,200005.0118723362,-50.93612361823571,300005.0118723362,-54.59709436581392,400005.0118723362,-65.95154892931647,500005.0118723362,-66.58925631428806,600005.0118723362,-75.34019108623249,700005.0118723362,-73.83182066722298,699994.9881276636,-52.94356873055094,599994.9881276636,-53.85417261260108,499994.9881276637,-46.40961557898144,399994.9881276637,-45.83703522847756,299994.9881276637,-33.88436315871748,199994.9881276637,-30.16333219379103,99994.98812766372,-16.31143729270822,5.011872336272725,25.92531247633946,100005.0118723363,-16.24040672911894,200005.0118723362,-30.06281157419015,300005.0118723362,-33.72559528842449,400005.0118723362,-45.40611487183146,500005.0118723362,-45.95185402314354,600005.0118723362,-53.20477947122846,700005.0118723362,-52.30280261578751
699993.6904265551,-74.08914195526845,599993.6904265551,-75.79234461208949,499993.6904265551,-66.68151932237726,399993.6904265551,-66.03479008338668,299993.6904265551,-54.62831997062889,199993.6904265552,-50.94548994219195,99993.69042655519,-37.20289095488101,6.309573444801935,5.519987336689775,100006.3095734448,-37.15291203129807,200006.3095734448,-50.93488081069538,300006.3095734448,-54.59325875136476,400006.3095734448,-65.94047323861973,500006.3095734448,-66.57619811101904,600006.3095734447,-75.29040565725451,700006.3095734447,-73.7982601084297,699993.6904265551,-52.92241943791615,599993.6904265551,-53.84685816598114,499993.6904265551,-46.3977387661852,399993.6904265551,-45.82550251176347,299993.6904265551,-33.87921168675497,199993.6904265552,-30.15795086111953,99993.69042655519,-16.31415584945669,6.309573444801935,26.10651011823819,100006.3095734448,-16.23804280379026,200006.3095734448,-30.07015179668229,300006.3095734448,-33.73369441011164,400006.3095734448,-45.42148382151365,500006.3095734448,-45.9674586035493,600006.3095734447,-53.1604529939733,700006.3095734447,-52.28902409993832
699992.0567176526,-74.13500568296209,599992.0567176526,-75.86337002837948,499992.0567176527,-66.69810593667955,399992.0567176527,-66.04811408039124,299992.0567176527,-54.63308986500361,199992.0567176527,-50.94651985828514,99992.05671765274,-37.20922296925593,7.943282347242818,5.520036692737039,100007.9432823472,-37.14633629085286,200007.9432823472,-50.93317437120804,300007.9432823472,-54.58831886998696,400007.9432823472,-65.92626382482572,500007.9432823472,-66.55983726697734,600007.9432823472,-75.227016005024,700007.9432823472,-73.7562373465494,699992.0567176526,-52.91971967991085,599992.0567176526,-53.86387740639884,499992.0567176527,-46.39232129774119,399992.0567176527,-45.81954218905541,299992.0567176527,-33.87576291351942,199992.0567176527,-30.1532413145659,99992.05671765274,-16.31839396469915,7.943282347242818,26.2248825395293,100007.9432823472,-16.2339018008885,200007.9432823472,-30.07570260931573,300007.9432823472,-33.73886072241174,400007.9432823472,-45.42891271657918,500007.9432823472,-45.97501115108855,600007.9432823472,-53.11018932874434,700007.9432823472,-52.26879901887955
699989.9999999999,-74.19123673651859,599989.9999999999,-75.95211276326896,499989.9999999999,-66.71815297714409,399989.9999999999,-66.06407184336601,299989.9999999999,-54.63888307106298,199990,-50.94764435791568,99989.99999999999,-37.21715470318694,10.00000000000001,5.520114458292844,100010,-37.13801407733799,200010,-50.9308535172884,300009.9999999999,-54.58199725442321,400009.9999999999,-65.90811443289964,500009.9999999999,-66.53937837309286,600009.9999999999,-75.14717032722405,700009.9999999999,-73.70392119896877,699989.9999999999,-52.93645165251124,599989.9999999999,-53.90622202295723,499989.9999999999,-46.39510295684175,399989.9999999999,-45.8206788606719,299989.9999999999,-33.87460161403656,199990,-30.14946209722358,99989.99999999999,-16.32454346123718,10.00000000000001,26.30131063413051,100010,-16.22758739628332,200010,-30.07926667686521,300009.9999999999,-33.74072883430559,400009.9999999999,-45.42704630777891,500009.9999999999,-45.9731461181328,600009.9999999999,-53.04846316068912,700009.9999999999,-52.23811056844865
699987.410745882,-74.26101475467404,599987.410745882,-76.06399165704963,499987.410745882,-66.74262535293136,399987.410745882,-66.08327920869917,299987.410745882,-54.64595390667101,199987.410745882,-50.94882333793755,99987.41074588205,-37.22707621943814,12.58925411794168,5.520237385822094,100012.5892541179,-37.12747091763996,200012.5892541179,-50.92769585018458,300012.5892541179,-54.57391617191832,400012.5892541179,-65.88490814645237,500012.5892541179,-66.51373955606309,600012.5892541178,-75.04726069043778,700012.5892541178,-73.63889929127106,699987.410745882,-52.97393693449016,599987.410745882,-53.97598387761242,499987.410745882,-46.40736051750614,399987.410745882,-45.82988692904546,299987.410745882,-33.8760890002365,199987.410745882,-30.14665172386485,99987.41074588205,-16.33300910975168,12.58925411794168,26.35030728192739,100012.5892541179,-16.21864811159463,200012.5892541179,-30.08070677806015,300012.5892541179,-33.73902443816593,400012.5892541179,-45.41469296254771,500012.5892541179,-45.9607517187353,600012.5892541178,-52.97015496175135,700012.5892541178,-52.19346692438532
699984.1510680753,-74.34839646309348,599984.1510680753,-76.20602689430926,499984.1510680753,-66.77268631448186,399984.1510680753,-66.1063845503722,299984.1510680753,-54.65458969080096,199984.1510680754,-50.94995678524124,99984.15106807537,-37.23946390151065,15.84893192461115,5.520431959886194,100015.8489319246,-37.11409625250356,200015.8489319246,-50.92337300661971,300015.8489319246,-54.5635664283801,400015.8489319246,-65.85512301778908,500015.8489319246,-66.48149362944579,600015.8489319244,-74.9228209583151,700015.8489319244,-73.55811092732894,699984.1510680753,-53.03440004573861,599984.1510680753,-54.07691587235703,499984.1510680753,-46.4302986502627,399984.1510680753,-45.84790164585152,299984.1510680753,-33.88048709994328,199984.1510680754,-30.14469080364987,99984.15106807537,-16.34425191472835,15.84893192461115,26.3816245037102,100015.8489319246,-16.20651606546105,200015.8489319246,-30.07982502137406,300015.8489319246,-33.73341117032034,400015.8489319246,-45.39041506589946,500015.8489319246,-45.93658061362122,600015.8489319244,-52.87015947057021,700015.8489319244,-52.13145759926984
699980.0473768502,-74.45859337181003,599980.0473768502,-76.38746687004834,499980.0473768503,-66.80971714457729,399980.0473768503,-66.13400843814421,299980.0473768503,-54.66510433860117,199980.0473768503,-50.95084352957027,99980.0473768503,-37.25489419020152,19.95262314968881,5.520740069837071,100019.9526231497,-37.09710075252712,200019.9526231497,-50.91739854263353,300019.9526231496,-54.55026296164672,400019.9526231496,-65.81669605890227,500019.9526231496,-66.44078199452024,600019.9526231496,-74.76843147177053,700019.9526231496,-73.45776115942913,699980.0473768502,-53.1213740839254,599980.0473768502,-54.214909779257,499980.0473768503,-46.46531320585198,399980.0473768503,-45.87537522500526,299980.0473768503,-33.88803495989812,199980.0473768503,-30.1433178676259,99980.0473768503,-16.35882193541962,19.95262314968881,26.40168505321751,100019.9526231497,-16.19044748086591,200019.9526231497,-30.07626179467512,300019.9526231496,-33.72337672302146,400019.9526231496,-45.3522003976978,500019.9526231496,-45.89896395360162,600019.9526231496,-52.74300018535772,700019.9526231496,-52.04836871069777
699974.8811356848,-74.59837752822554,599974.8811356848,-76.62073013076224,499974.8811356848,-66.85533131837867,399974.8811356848,-66.16662746752914,299974.8811356848,-54.67782157622636,199974.8811356849,-50.95111372930083,99974.88113568489,-37.27405550901418,25.11886431509582,5.521227952157592,100025.1188643151,-37.07545858245459,200025.1188643151,-50.90904783885091,300025.118864315,-54.53308058243459,400025.118864315,-65.76682800224418,500025.118864315,-66.38919272136616,600025.118864315,-74.57763424294033,700025.118864315,-73.33321606256214,699974.8811356848,-53.24009404165331,599974.8811356848,-54.39858254816316,499974.8811356848,-46.51415284940261,399974.8811356848,-45.91287638883636,299974.8811356848,-33.89897946130721,199974.8811356849,-30.14209393875236,99974.88113568489,-16.37738103320983,25.11886431509582,26.41468225814883,100025.1188643151,-16.16945667691303,200025.1188643151,-30.06939107774519,300025.118864315,-33.70813396958263,400025.118864315,-45.29716179771333,500025.118864315,-45.84558411547789,600025.118864315,-52.58250937775245,700025.118864315,-51.93987638646902
699968.3772233982,-74.77667177108353,599968.3772233982,-76.92286636483327,499968.3772233982,-66.91136585257192,399968.3772233982,-66.20435682690847,299968.3772233982,-54.69303876227696,199968.3772233983,-50.95011929391305,99968.3772233983,-37.29775458840058,31.62277660168382,5.522000242492147,100031.6227766017,-37.04782864841685,200031.6227766017,-50.89723483256471,300031.6227766016,-54.51076082522074,400031.6227766016,-65.70170790968211,500031.6227766016,-66.3235934076346,600031.6227766016,-74.34287328413559,700031.6227766016,-73.17888596981034,699968.3772233982,-53.3979984306259,599968.3772233982,-54.64014202396912,499968.3772233982,-46.5790034822374,399968.3772233982,-45.96071602959498,299968.3772233982,-33.91356423426484,199968.3772233983,-30.14030819276941,99968.3772233983,-16.40071486457023,31.62277660168382,26.42336596529929,100031.6227766017,-16.14223390228056,200031.6227766017,-30.05818551790727,300031.6227766016,-33.6865124758602,400031.6227766016,-45.22121141949222,500031.6227766016,-45.77326074740152,600031.6227766016,-52.38158664210796,700031.6227766016,-51.80080430702114
